name,address,nature,nightlife,drink,music,dance,history,sports,art,museum,walk,restaurant,movie,Latitude,Longitude
ZSL London Zoo,"Regent's Park, Outer Circle, London, United Kingdom",1,0,0,0,0,0,0,0,0,1,0,0,51.5323658,-0.1640889
Tate Britain,Millbank,0,0,0,0,0,1,0,1,1,0,0,0,51.4926121,-0.1290435
Grosvenor Gardens,"Grosvenor Gardens, London, United Kingdom",0,0,1,0,0,0,0,0,0,0,0,0,51.497117,-0.146082
Soho Square,"London, United Kingdom",0,0,1,0,0,0,0,0,0,0,0,0,51.5074456,-0.1277653
Ministry of Sound,"103 Gaunt Street, London, United Kingdom",0,1,1,1,1,0,0,0,0,0,0,0,51.4977677,-0.0994957
Duke of Cambridge,30 St Peter's St,0,1,1,1,0,0,0,0,0,0,1,0,51.5345894,-0.0986938
The Blackfriar,174 Queen Victoria St,0,1,1,1,0,0,0,0,0,0,1,0,51.5121467,-0.1036468
The Holly Bush,22 Holly Mount,0,1,1,1,0,0,0,0,0,0,1,0,54.5413008,-6.0092299
Dogstar,389 Coldharbour Ln.,0,1,1,1,0,0,0,0,0,0,0,0,51.4616786,-0.1118685
The Atlas,16 Seagrave Rd.,0,1,1,1,0,0,0,0,0,0,1,0,51.4861841,-0.1962858
Ye Olde Spotted Horse,122 Putney High St,0,1,1,1,0,0,0,0,0,0,1,0,51.4627042,-0.2166634
The Coat and Badge,10 Lacy Road,0,1,1,1,0,0,1,0,0,0,1,0,44.2810843,-73.8160628
Blue Anchor,13 Lower Mall,0,1,1,1,0,0,0,0,0,0,1,0,47.6099845,-122.3180799
The Cow,89 Westbourne Park Rd,0,1,1,1,0,0,0,0,0,0,1,0,51.5191522,-0.1953645
Founder's Arms,52 Hopton St,0,1,1,1,0,0,1,0,0,0,1,0,51.5085137,-0.1015999
Pig & Whistle,479-481 Merton Rd,0,1,1,1,0,0,1,0,0,0,1,0,51.4410741,-0.1966886
The Lost Angel,339 Battersea Park Rd,0,1,1,1,0,0,0,0,0,0,1,0,51.4740944,-0.1570764
Studio North,"277 New North Road, London, United Kingdom",0,1,1,1,0,0,0,0,0,0,1,0,51.5401561,-0.0950182
Cargo,"83 Rivington Street, London, United Kingdom",0,1,1,1,0,0,1,0,0,0,1,0,51.5265071,-0.0787166
The King's Head,1 The Green,0,1,1,1,0,0,0,0,0,0,1,0,51.7433712,-0.8882408
East Hill Gallery,"49 East Hill, London, United Kingdom",0,1,1,1,0,0,1,0,0,0,1,0,51.4576308,-0.1842573
The Grapes,76 Narrow St.,0,1,1,1,0,0,0,0,0,0,1,0,51.50885,-0.0339611
The Ten Bells,84 Commercial St.,0,1,1,1,0,0,0,0,0,0,1,0,42.0438915,-70.1925016
Scala,275 Pentonville Rd,0,1,1,0,0,0,0,0,0,0,0,1,51.5309755,-0.119804
The Palm Tree,127 Grove Rd,0,1,1,1,0,0,1,0,0,0,0,0,51.5291674,-0.0406929
The Gun,27 Cold Harbour,0,1,1,1,0,0,0,0,0,0,1,0,51.5018302,-0.0077364
Londesborough,36 Barbauld Road,0,1,1,1,1,0,0,0,0,0,1,0,51.5576243,-0.0806089
The Clapham Grand,"21-25 Saint John's Hill, London, United Kingdom",0,1,1,1,1,0,1,0,0,0,0,0,51.4631057,-0.1694453
The Good Ship,289 Kilburn High Road,0,1,1,1,1,0,0,0,0,0,0,0,51.5438188,-0.2003215
Pub on the Park,19 Martello St,0,1,1,1,0,0,0,0,0,0,1,0,41.8181807,-71.359791
Zigfrid von Underbelly,11 Hoxton Sq,0,1,1,1,1,0,0,0,0,0,1,0,51.5280278,-0.0816764
